Date;Name
01.01.2016;New Year
08.01.2016;Martin Luther King Jr. Birthday
12.02.2016;Lincoln's Birthday
15.02.2016;Washington's Birthday
30.05.2016;Memorial Day
04.07.2016;Independence Day
05.09.2016;Labor Day
10.10.2016;Columbus Day
08.11.2016;General Election Day
11.11.2016;Veterans Day
24.11.2016;Thanksgiving Day
25.11.2016;Thanksgiving Day
26.11.2016;Christmas
